gene,drug_name,dataset,cancer_type,correlation,pvalue,n_cell_line
SLC25A20,BRD-K71781559,All,ovary,0.284818,0.0788462,39
SLC25A20,idarubicin,All,ovary,-0.41812,0.0335344,26
SLC25A20,AT7867,All,ovary,0.31939,0.0368255,43
SLC25A20,"CAP-232, TT-232, TLN-232",All,ovary,0.334483,0.0761465,29
SLC25A20,Etoposide,All,ovary,-0.479124,0.000755252,46
SLC25A20,7-nitroindazole,All,ovary,0.335385,0.0939462,26
SLC25A20,BI-2536,All,ovary,-0.255751,0.0862518,46
SLC25A20,T-5345967,All,ovary,-0.214002,0.173557,42
SLC25A20,Tenovin-6,All,ovary,0.373892,0.0457129,29
SLC25A20,NSC-207895,All,ovary,-0.235653,0.236689,27
SLC25A20,clofarabine,All,ovary,-0.225506,0.167488,39
SLC25A20,vorapaxar,All,ovary,-0.222672,0.173034,39
SLC25A20,BRD9571,All,ovary,-0.378571,0.164091,15
SLC25A20,CI-1040,All,ovary,-0.433498,0.0211934,28
SLC25A20,BRD-K27224038,All,ovary,0.563636,0.089724,10
SLC25A20,MI-2,All,ovary,-0.291176,0.273887,16
SLC25A20,CIL41,All,ovary,-0.300468,0.0893162,33
SLC25A20,RS-23597-190,All,ovary,0.366601,0.0853233,23
SLC25A20,Gemcitabine,All,ovary,-0.292137,0.0488325,46
SLC25A20,Compound 44,All,ovary,-0.416068,0.0345039,26
SLC25A20,myriocin,All,ovary,0.452823,0.0105286,31
SLC25A20,ZL049,All,ovary,-0.235653,0.236689,27
SLC25A20,BRD-K84807411,All,ovary,0.684848,0.0288828,10
SLC25A20,OTX015,All,ovary,0.233913,0.271284,24
SLC25A20,630600,All,ovary,-0.351948,0.117673,21
SLC25A20,fluoropyruvate,All,ovary,0.282735,0.161658,26
SLC25A20,UNC0642,All,ovary,-0.331144,0.0851951,28
SLC25A20,GW441756,All,ovary,-0.35665,0.0575476,29
SLC25A20,Gallibiscoquinazole,All,ovary,-0.384416,0.0853276,21
SLC25A20,JQ-1:navitoclax (2:1 mol-mol),All,ovary,0.262753,0.106085,39
SLC25A20,(5Z)-7-Oxozeaenol,All,ovary,-0.410867,0.0332592,27
SLC25A20,Taselisib,All,ovary,0.25665,0.178965,29
SLC25A20,STF-31,All,ovary,-0.238866,0.143062,39
SLC25A20,PRIMA-1MET,All,ovary,-0.328541,0.0294508,44
SLC25A20,palmostatin B,All,ovary,-0.493103,0.00656891,29
SLC25A20,Tivozanib,All,ovary,-0.424484,0.00328012,46
SLC25A20,GSK4112,All,ovary,-0.21498,0.188746,39
SLC25A20,erlotinib:PLX-4032 (2:1 mol-mol),All,ovary,-0.275012,0.0994852,37
SLC25A20,BRD-K92856060,All,ovary,-0.244737,0.133202,39
SLC25A20,Bicalutamide,All,ovary,0.291626,0.124794,29
SLC25A20,BRD-K30019337,All,ovary,0.418182,0.229113,10
SLC25A20,Sepantronium bromide,All,ovary,-0.247563,0.101088,45
SLC25A20,Niraparib,All,ovary,-0.241739,0.255106,24
SLC25A20,BRD-K86535717,All,ovary,0.418182,0.229113,10
SLC25A20,pifithrin-mu,All,ovary,-0.252713,0.0979168,44
SLC25A20,Ponatinib,All,ovary,-0.306087,0.145767,24
SLC25A20,RAF265,All,ovary,-0.336437,0.0362446,39
SLC25A20,austocystin D,All,ovary,0.325824,0.0352304,42
SLC25A20,istradefylline,All,ovary,-0.535714,0.039567,15
SLC25A20,Acetalax,All,ovary,-0.376623,0.0924053,21
SLC25A20,BRD-A05715709,All,ovary,-0.391176,0.134071,16
SLC25A20,BRD-K96431673,All,ovary,-0.345455,0.328227,10
SLC25A20,Bleomycin (50 uM),All,ovary,-0.392994,0.0385655,28
SLC25A20,tigecycline,All,ovary,-0.356522,0.0872531,24
SLC25A20,MG-132,All,ovary,0.323864,0.0659701,33
SLC25A20,BRD-K75293299,All,ovary,0.345455,0.328227,10
SLC25A20,Cediranib,All,ovary,0.285562,0.101608,34
SLC25A20,IPA-3,All,ovary,-0.289565,0.16992,24
SLC25A20,VU0155056,All,ovary,-0.264252,0.108893,38
SLC25A20,Phenformin,All,ovary,0.236264,0.235441,27
SLC25A20,LDN-193189,All,ovary,-0.208068,0.197621,40
SLC25A20,leptomycin B,All,ovary,-0.293117,0.0701454,39
SLC25A20,PIK-93,All,ovary,0.249477,0.115714,41
SLC25A20,PHA-665752,All,ovary,-0.262308,0.205258,25
SLC25A20,Tamoxifen,All,ovary,-0.212458,0.156324,46
SLC25A20,GSK-J4,All,ovary,-0.231527,0.226866,29
SLC25A20,omacetaxine mepesuccinate,All,ovary,-0.201478,0.29461,29
SLC25A20,KH-CB19,All,ovary,-0.213793,0.265449,29
SLC25A20,HG-5-88-01,All,ovary,0.306373,0.23169,17
SLC25A20,THZ-2-49,All,ovary,0.240832,0.217005,28
SLC25A20,PF-562271,All,ovary,-0.23913,0.260428,24
SLC25A20,PYR-41,All,ovary,-0.399241,0.0143694,37
SLC25A20,2-bromopyruvate,All,ovary,0.30188,0.133923,26
SLC25A20,BAY ACCi,All,ovary,-0.353162,0.0767688,26
SLC25A20,BAY-MPS-combo-1 (paclitaxel 5 uM),All,ovary,-0.469173,0.0368966,20
SLC25A20,betulinic acid,All,ovary,-0.335294,0.0489528,35
SLC25A20,Alpelisib,All,ovary,0.26221,0.11693,37
SLC25A20,Oxaliplatin,All,ovary,-0.319541,0.0367316,43
SLC25A20,CAY10566,All,ovary,0.230049,0.229928,29
SLC25A20,CZC24832,All,ovary,0.230435,0.278678,24
SLC25A20,GSK-3 inhibitor IX,All,ovary,-0.20801,0.210138,38
SLC25A20,PFI3,All,ovary,-0.234811,0.229069,28
SLC25A20,(-)-gallocatechin-3-monogallate,All,ovary,-0.202051,0.322246,26
SLC25A20,BRD-K02251932,All,ovary,-0.240412,0.157839,36
SLC25A20,Thalidomide,All,ovary,-0.225,0.420105,15
SLC25A20,THZ-2-102-1,All,ovary,0.22058,0.259342,28
SLC25A20,SN-38,All,ovary,-0.373173,0.0106389,46
SLC25A20,BRD-K03911514,All,ovary,0.263478,0.213502,24
SLC25A20,darinaparsin,All,ovary,-0.309492,0.0796597,33
SLC25A20,ICL1100013,All,ovary,-0.256705,0.187286,28
SLC25A20,Doramapimod,All,ovary,-0.23101,0.146173,41
SLC25A20,SJ-172550,All,ovary,-0.260183,0.0880656,44
SLC25A20,elocalcitol,All,ovary,-0.433198,0.00587395,39
SLC25A20,ML101,All,ovary,0.513162,0.00734073,26
SLC25A20,PI3Ka_4409,All,ovary,0.226601,0.246231,28
SLC25A20,BAY-MPS-combo 2 (paclitaxel 1 uM),All,ovary,-0.26015,0.26798,20
SLC25A20,BRD-K80183349,All,ovary,-0.220445,0.177482,39
SLC25A20,Compound 4,All,ovary,0.277949,0.169183,26
SLC25A20,Omipalisib,All,ovary,0.297209,0.124557,28
SLC25A20,QL-VIII-58,All,ovary,-0.301471,0.239624,17
SLC25A20,ETP-45835,All,ovary,-0.206897,0.281539,29
SLC25A20,I-BET-762,All,ovary,0.201916,0.205513,41
SLC25A20,TANK_1366,All,ovary,-0.241927,0.214859,28
SLC25A20,BDOCA000347a,All,ovary,-0.335065,0.13761,21
SLC25A20,tacrolimus,All,ovary,-0.357999,0.0170324,44
SLC25A20,batimastat,All,ovary,0.504957,0.00851268,26
SLC25A20,BRD-K64610608,All,ovary,-0.307583,0.0603049,38
SLC25A20,BRD-K94991378,All,ovary,0.268611,0.107941,37
SLC25A20,CI-976,All,ovary,-0.211698,0.167736,44
SLC25A20,AZD3759,All,ovary,-0.279803,0.141547,29
SLC25A20,BIBR-1532,All,ovary,-0.301511,0.0417174,46
SLC25A20,ML006,All,ovary,-0.200987,0.190802,44
SLC25A20,5-azacytidine,All,ovary,-0.252174,0.234528,24
SLC25A20,BRD63610,All,ovary,-0.309402,0.12403,26
SLC25A20,MDV-3100,All,ovary,-0.275,0.321211,15
SLC25A20,piperlongumine:MST-312 (1:1 mol-mol),All,ovary,-0.270028,0.116696,35
SLC25A20,Tanespimycin,All,ovary,-0.315202,0.032868,46
SLC25A20,Teniposide,All,ovary,-0.476291,0.00124412,43
SLC25A20,BRD-K20514654,All,ovary,0.336522,0.107856,24
SLC25A20,canertinib,All,ovary,-0.290891,0.0724019,39
SLC25A20,Nelarabine,All,ovary,-0.218762,0.175039,40
SLC25A20,WHI-P97,All,ovary,-0.314176,0.103483,28
SLC25A20,LJI308,All,ovary,0.225616,0.239282,29
SLC25A20,BAY AKT1,All,ovary,0.311453,0.121427,26
SLC25A20,orteronel,All,ovary,0.213675,0.294585,26
SLC25A20,BRD9876,All,ovary,-0.224015,0.16465,40
SLC25A20,AZD7969,All,ovary,-0.259442,0.182463,28
SLC25A20,RO-3306,All,ovary,-0.248768,0.193155,29
SLC25A20,Sorafenib,All,ovary,-0.267062,0.0761525,45
SLC25A20,pitstop2,All,ovary,-0.31746,0.0997321,28
SLC25A20,BMS-641988,All,ovary,-0.222564,0.274471,26
SLC25A20,AA-COCF3,All,ovary,-0.480821,0.00109978,43
SLC25A20,PAK_5339,All,ovary,0.246753,0.280896,21
SLC25A20,FY012,All,ovary,-0.297924,0.131216,27
SLC25A20,N-acetyl cysteine,All,ovary,-0.351304,0.0923173,24
SLC25A20,AZD5991,All,ovary,-0.266234,0.243399,21
SLC25A20,BML-259,All,ovary,-0.332016,0.121675,23
SLC25A20,123829,All,ovary,-0.571429,0.00680989,21
SLC25A20,AZD2014,All,ovary,-0.245758,0.20746,28
SLC25A20,kinetin riboside,All,ovary,-0.554872,0.00326062,26
SLC25A20,GSK2578215A,All,ovary,0.272906,0.152042,29
SLC25A20,TKI258,All,ovary,-0.358462,0.0784825,25
SLC25A20,3-chloro-L-alanine,All,ovary,-0.366838,0.0652732,26
SLC25A20,ASN 05257430,All,ovary,-0.240451,0.115899,44
SLC25A20,Kobe2602,All,ovary,-0.204434,0.287434,29
SLC25A20,FGFR_0939,All,ovary,-0.367816,0.0541438,28
SLC25A20,Staurosporine,All,ovary,-0.338936,0.0463995,35
SLC25A20,tandutinib,All,ovary,-0.423887,0.00716344,39
SLC25A20,AT-7519,All,ovary,0.228243,0.242733,28
SLC25A20,BAY-MPS1,All,ovary,-0.526838,0.0056886,26
SLC25A20,ML312,All,ovary,0.6,0.066688,10
SLC25A20,ML159,All,ovary,0.397233,0.0605317,23
SLC25A20,kahalalide F,All,ovary,0.490226,0.0282108,20
SLC25A20,Bromosporine,All,ovary,-0.238961,0.296849,21
SLC25A20,CCT036477,All,ovary,-0.349119,0.020193,44
SLC25A20,Elephantin,All,ovary,-0.271429,0.233974,21
SLC25A20,isoliquiritigenin,All,ovary,-0.247801,0.171488,32
SLC25A20,Dabrafenib,All,ovary,0.465852,0.00549221,34
SLC25A20,Temsirolimus,All,ovary,-0.44983,0.00460384,38
SLC25A20,KIN001-236,All,ovary,0.221675,0.256925,28
SLC25A20,GDC-0879,All,ovary,-0.229757,0.159411,39
SLC25A20,salermide:PLX-4032 (12:1 mol-mol),All,ovary,-0.358824,0.0342769,35
SLC25A20,765771,All,ovary,-0.227273,0.3218,21
SLC25A20,ML050,All,ovary,-0.287224,0.0618287,43
SLC25A20,BRD8899,All,ovary,0.234211,0.151257,39
SLC25A20,AZ20,All,ovary,-0.256158,0.188261,28
SLC25A20,tivantinib,All,ovary,0.203571,0.466795,15
SLC25A20,ZG-10,All,ovary,-0.291667,0.256003,17
SLC25A20,UNC0379,All,ovary,0.208696,0.327753,24
SLC25A20,VX-702,All,ovary,-0.472359,0.0111456,28
SLC25A20,maraviroc,All,ovary,-0.236923,0.243879,26
SLC25A20,THR-101,All,ovary,-0.27668,0.201236,23
SLC25A20,LE-135,All,ovary,-0.242223,0.117591,43
SLC25A20,Alectinib,All,ovary,-0.223864,0.252135,28
SLC25A20,BRD-K78574327,All,ovary,0.733333,0.0158006,10
SLC25A20,Bleomycin (10 uM),All,ovary,-0.374237,0.0544649,27
SLC25A20,BRD-K51831558,All,ovary,-0.344118,0.191856,16
SLC25A20,panduratin A,All,ovary,-0.394188,0.046301,26
SLC25A20,BMS-299897,All,ovary,0.359684,0.0918451,23
SLC25A20,BAY-HDAC11_2,All,ovary,-0.325812,0.104314,26
SLC25A20,necrostatin-7,All,ovary,-0.295547,0.0677473,39
SLC25A20,T0901317,All,ovary,-0.2578,0.185347,28
SLC25A20,FY069,All,ovary,-0.35348,0.0704938,27
SLC25A20,Piperlongumine,All,ovary,-0.324206,0.0279414,46
SLC25A20,Topotecan,All,ovary,-0.343401,0.0241634,43
SLC25A20,NPK76-II-72-1,All,ovary,0.386973,0.0419165,28
SLC25A20,FSC231,All,ovary,0.248485,0.488776,10
SLC25A20,MK-0752,All,ovary,-0.262551,0.106364,39
SLC25A20,Cytarabine,All,ovary,-0.41653,0.0274622,28
SLC25A20,COL-3,All,ovary,-0.277833,0.144491,29
SLC25A20,SL0101,All,ovary,-0.246305,0.197745,29
SLC25A20,PF-4800567 hydrochloride,All,ovary,-0.225,0.420105,15
SLC25A20,JQ-1:MK-0752 (1:1 mol-mol),All,ovary,0.26498,0.103049,39
SLC25A20,PRL-3 Inhibitor I,All,ovary,-0.208457,0.174492,44
SLC25A20,BRD-K16130065,All,ovary,0.539394,0.107593,10
SLC25A20,Schweinfurthin A,All,ovary,-0.249351,0.275699,21
SLC25A20,AGK-2,All,ovary,-0.210237,0.160799,46
SLC25A20,Fulvestrant,All,ovary,-0.385994,0.0220094,35
SLC25A20,BRD1812,All,ovary,-0.333279,0.0310214,42
SLC25A20,OSI-930,All,ovary,-0.201847,0.199883,42
SLC25A20,HKMTI-1-005,All,ovary,0.218261,0.305554,24
